id,title,company_type,seniority,location,skills_required,raw_description
5261227332,Python Developer,Software Engineering,Mid-level,"Sydney, NSW","Python, Aws, Cloud, Api","Role : Python Developer with AWS (Serverless) Location : Sydney We are looking for a skilled Python developer with strong AWS experience, particularly in serverless architecture. The ideal candidate will have a solid understanding of modern cloud-based development practices and a collaborative, problem-solving mindset. Key Responsibilities: Develop and maintain serverless applications using Python and AWS. Design and implement APIs using AWS API Gateway. Collaborate with cross-functional teams …"
5684743303,Senior Python Engineer – Trading & Research Systems,Software Engineering,Senior,"Sydney, NSW",Python,"What You'll Do: - Develop and maintain high-performance Python applications for trading, research, and risk management. - Collaborate with traders, researchers, and quants to design scalable and efficient software solutions. - Build automation tools that enhance trading workflows and optimize research capabilities. - Deploy, test, and iterate rapidly to drive continuous improvements. - Balance trade-offs between latency, throughput, scalability, and maintainability. Your Responsibilities Will I…"
5162989935,Python / Network Automation Engineer,Software Engineering,Mid-level,"Sydney, NSW","Python, Golang, Docker, Ci/Cd, Api, Microservices","Job Description: Job Summary: We are looking for a skilled Python / Network Automation Engineer to design and develop Python-based microservices. The ideal candidate will possess strong expertise in Python design patterns, RESTful API development, Docker, network protocols, and CI/CD pipelines. In this role, you will be responsible for architecting scalable microservices and contributing to the automation of Telecom network operations. Primary skills – Python, API Testing, Knowledge in Golang K…"
5413793977,Data Engineer - VisionAI (AU),Software Engineering,Mid-level,"Sydney, NSW",Computer Vision,"About the role DroneShield is seeking a Data Engineer (VisionAI) to join our development team in Sydney. In this role, you will be at the forefront of advancing our computer vision capabilities - managing large-scale image and video datasets, and building the data infrastructure and MLOps pipelines that power next-generation AI systems. You’ll collaborate closely with engineers, data scientists, and product teams to ensure our datasets are reliable, scalable, and optimised for real-world defenc…"
5649083591,Linux Engineer,Software Engineering,Mid-level,"Sydney, NSW","Python, Linux","We’re seeking a Linux Engineer with deep systems expertise and Python/scripting experience to join our growing global team. You will be responsible for engineering and operating Linux at scale across our mission[1]critical environment, while also improving automation and self-service tools that enhance our ability to manage IMC’s servers. The Linux Engineering team is responsible for the provisioning, configuration, performance, and reliability of a large-scale Linux infrastructure that support…"
5711024663,"Linux Engineer Sydney, Australia",Software Engineering,Mid-level,"Sydney, NSW","Python, Linux","We’re seeking a Linux Engineer with deep systems expertise and Python/scripting experience to join our growing global team. You will be responsible for engineering and operating Linux at scale across our mission[1]critical environment, while also improving automation and self-service tools that enhance our ability to manage IMC’s servers. The Linux Engineering team is responsible for the provisioning, configuration, performance, and reliability of a large-scale Linux infrastructure that support…"
5650818134,Machine Learning Engineer,Data & Analytics,Mid-level,"Sydney, NSW",Machine Learning,"Be part of the team transforming global travel experiences! Luxury Escapes is one of the world’s fastest-growing travel websites, with over 8 million members, recently winning the National Travel Industry Award for Most Outstanding Online Travel Agency! We are growing rapidly & seeking a self-driven, analytical and strategic Machine Learning Engineer to join the team. Working at Luxury Escapes Our mission is to delight our customers with incredible deals for the world's best holidays. We are a …"
5664253351,Machine Learning Engineer,Data & Analytics,Senior,"Sydney, NSW",Machine Learning,"Job Title: Machine Learning Engineer APAC Region | Surry Hills, Sydney Reports to: Machine Learning Lead Company Overview: proprietary data platform processes billions of data points daily from cutting-edge IoT devices, empowering us to deliver insights on people flow, wayfinding, and queue management. From major international airport terminals to stadiums and smart cities, we enhance operational efficiency and elevate passenger experiences globally. About the Role: Join a pioneering Australian…"
5698633440,Machine Learning Researcher,Data & Analytics,Mid-level,"Sydney, NSW","Machine Learning, Forecasting","JOB DESCRIPTION Overview Susquehanna is expanding the Machine Learning group and seeking exceptional researchers to join our dynamic team. As a Machine Learning Researcher, you will apply advanced ML techniques to a wide range of forecasting challenges, including time series analysis, natural language understanding, and more. Your work will directly influence our trading strategies and decision-making processes. This is a unique opportunity to work at the intersection of cutting-edge research a…"
5646691621,Machine Learning Researcher,Data & Analytics,Mid-level,"Sydney, NSW","Machine Learning, Forecasting","Susquehanna is expanding the Machine Learning group and seeking exceptional researchers to join our dynamic team. As a Machine Learning Researcher, you will apply advanced ML techniques to a wide range of forecasting challenges, including time series analysis, natural language understanding, and more. Your work will directly influence our trading strategies and decision-making processes. This is a unique opportunity to work at the intersection of cutting-edge research and real-world impact, lev…"
5706197831,Senior Machine Learning Engineer,Data & Analytics,Senior,"Sydney, NSW",Aws,"Job Description To help us scale the AI systems behind that intelligence, we're looking for a Senior MLOps Engineer to join our AICV Platform team in Sydney. This is a genuine opportunity to own greenfield platform work at serious scale. Nearmap is one of the top three AWS users in the APAC region. The systems you'll build aren't theoretical — they're processing aerial imagery across Australia, the US, and Canada, and serving AI models to real customers at high concurrency. You'll sit between t…"
5710823315,Principal Machine Learning Engineer,Data & Analytics,Senior,"Sydney, NSW",Machine Learning,"This is a Principal Machine Learning Engineer role with MYOB based in Sydney, NSW, AU  MYOB  Role Seniority - senior More about the Principal Machine Learning Engineer role at MYOB Hey, we’re so glad you’re here. As you know, we believe what’s good for one business is good for all business—and that includes the incredible talent within our own teams. You’re already part of our mission to help businesses across Australia and New Zealand start, survive, and succeed. Now, it’s time to focus on wha…"
5710822858,Engineering Manager - Machine Learning,Data & Analytics,Senior,"Sydney, NSW",Machine Learning,"This is a Engineering Manager - Machine Learning role with MYOB based in Sydney, NSW, AU  MYOB  Role Seniority - mid level, senior More about the Engineering Manager - Machine Learning role at MYOB Hey, we’re so glad you’re here. As you know, we believe what’s good for one business is good for all business—and that includes the incredible talent within our own teams. You’re already part of our mission to help businesses across Australia and New Zealand start, survive, and succeed. Now, it’s tim…"
5637249700,Senior Machine Learning Engineer,Data & Analytics,Senior,"Sydney, NSW",Machine Learning,"This is a Senior Machine Learning Engineer role with MYOB based in Sydney, NSW, AU  MYOB  Role Seniority - senior More about the Senior Machine Learning Engineer role at MYOB We’re a leading business management solution with a core purpose: helping more businesses in Australia and New Zealand start, survive and succeed. At MYOB, we believe what’s good for one business is good for all business—and for all of us. Whether you support them, work for them, or dream of building your own, when busines…"
5661296545,Machine Learning Engineering Manager,Data & Analytics,Senior,"Sydney, NSW",Machine Learning,"This is a Machine Learning Engineering Manager role with icare NSW based in Sydney, NSW, AU  icare NSW  Role Seniority - senior More about the Machine Learning Engineering Manager role at icare NSW Machine Learning Engineering Manager Sydney Deliver Data, Machine Learning and AI Models Permanent, Fulltime position, Sydney CBD location Hybrid role (Kent Street, Sydney), salary neg About the Role The Machine Learning Engineering Manager is the foundational engineering lead within icare’s Data Sci…"
5701882203,Cloud Engineer,Infrastructure & Cloud,Mid-level,"Sydney, NSW",Cloud,"Cloud & Automation Engineer Sydney OR Melbourne • Hybrid (4 days WFH) $138K  Super  Bonus Must be PR or Australian Citizen If you’re looking to move beyond traditional infrastructure and into a more automation and cloud-focused engineering role, this is a strong next step. Partnering with a growing technology business, this is a fantastic opportunity for a Cloud / Systems Engineer looking to step into a more advanced, automation-led environment. This role has opened due to an internal promotion…"
5701882223,Junior Cloud Engineer,Infrastructure & Cloud,Graduate / Junior,"Sydney, NSW",Cloud,"Associate Cloud Engineer - Infrastructure as Code (Sydney | Hybrid) We're looking for an Associate Level Cloud Engineer to join a team working in automation-first, Infrastructure as Code (IaC) environments. This is not a manual operations role, everything is built, deployed, and supported through code and automation. ALL CANDIDATES MUST BE PERMANENT RESIDENTS OF AUSTRALIA MINIMUM. Strong attitude and willingness to learn are key, with full training provided to grow into a capable cloud enginee…"
5699395477,Senior Cloud Engineer,Infrastructure & Cloud,Senior,"Sydney, NSW",Cloud,"Only applicants based in Sydney will be considered. 12 month contract We are looking for a Senior Cloud Engineer to support our client on a greenfield project. About Facto Facto is a growing Australian IT consultancy specialising in business transformation, technology enablement, and strategic advisory services. We partner with clients across a range of industries to deliver complex change programs and drive measurable outcomes. Our consultants are trusted experts who thrive in fast-paced, evol…"
5637249674,AWS Cloud Engineer,Infrastructure & Cloud,Mid-level,"Sydney, NSW","Aws, Cloud","This is a AWS Cloud Engineer role with Accenture based in Sydney, NSW, AU  Accenture  Role Seniority - mid level More about the AWS Cloud Engineer role at Accenture About Accenture We work with one shared purpose: to deliver on the promise of technology and human ingenuity. Every day, more than 791,000 of us help our stakeholders continuously reinvent. Together, we drive positive change and deliver value to our clients, partners, shareholders, communities, and each other. We believe that delive…"
5705534290,DevOps Cloud Engineer - AWS,Infrastructure & Cloud,Mid-level,"Sydney, NSW","Aws, Cloud","AWS Premier Partner. Join a leading IT Services Provider and work with AWS gurus. Cutting edge technologies to play with. Varied customers projects. AWS Premier Partner and 4 Best Place to Work Fun, Vibrant & Collaborative team. Hybrid work (50% from home) Ongoing Training and Career Development Opportunities  AU Citizens only - Sydney or Melbourne based Who you’ll be working with for At AC3, our purpose is to make technology real—and as leaders in secure multi-cloud solutions, we get to bring …"
